,description,name,relationship,text
21,"yes I'm only twenty, no I don't get plenty of sleep | @nonnaahss x",alecatmur,1,"RT @wondrlandswift: I find comfort in the fact that when a taylor swift song comes on the radio,the people that aren't in my life anymore w?"
22,'My Allah is bigger than My problems'  Rock|Guitar|Art|PenikmatKopi|@slankdotcom|@realmadrid|@Cristiano|@marcmarquez93,adel_allan,0,RT @laptamy: Menyiapkan mental sebelum timeline diisi oleh rangorang yang dengerin lagu Back To December-nya Taylor Swift.
23,my crush likes BTS \^.^/,taehyungakav,0,RT @jaebeomult: me when i read bambam likes taylor swift and that kendall jenner is his ideal type https://t.co/pA4VakY58p
24,"|she/ her| kim affection :') #blacklivesmatter    
#STIGMA  
#HWARANG",lavieentae,0,RT @taeandguk: TAEHYUNG LISTENS TO TAYLOR SWIFT . HE INVENTED HER CAREER https://t.co/LpGlgrdNwA
25,"? Igual a Katy Perry,  ao vivo ? pior.  S?ries e cinema, Kubrik e Stephen King. Cervejas e cigarros.",rennerfreir,0,Taylor Swift cantando This Is What You Came For &lt;3
26,rock n roll,come_on_and_Cam,0,RT @trademarkcarly: Would rather listen to angsty Taylor Swift than go into class right now so maybe that's what I'll do
27,"|she/ her| kim affection :') #blacklivesmatter    
#STIGMA  
#HWARANG",lavieentae,0,RT @sejkou: Cnslfjod KTH LISTENS TO TAYLOR SWIFT OKAY https://t.co/mZfOoSqPok
28,"I got enemies, got a lot of enemies.",sixgodwatching,0,"RT @MeisterMahnIV: Drake is trash, but...this is another example of toxic masculinity at work. So WHAT if a guy sings Taylor Swift(also tra?"
29,used to give a damn but neva gave a fuk,mkaylamkay,0,RT @MJStarLover: Taylor Swift is the devil.
30,"Oktober 19 en leszek 65 eves.Roman allampolgar,5 es fel eve Spanyolorszag a lakhelyem.Szeretek fotozni,az aradi fotoklubb regi tagja vagyok,de kedvenc hobbym a",NGirina,0,Taylor Swift - I Knew You Were Trouble https://t.co/bK9bFdV2I9 v?a @YouTube
31,I just want to see you shine cause I know you are a Stargirl.,jokersjustin,1,"RT @blessedswifty: Forbes predicts that Taylor Swift will earn ""millions"" of US-Dollars this year thanks to her writing songs for other art?"
32,english major ? beagle fanatic ? still with her,ianmjayne,1,sign my https://t.co/RRkj9XGpOd petition for Taylor Swift to release LP6 and somewhat salvage this disaster of a year
33,I don't care just respect my coffee.,hogwasmeade,0,"""Imagina que a taylor swift ja pegou os homens todos ai daqui um dia ela aparece com mulher e vai ser a camila"" ???mato agora ou mais tarde?"
34,"Amplifying your #socialmedia presence to expand customer awareness, connect with new business, and contribute to your success and growth!  #SocialMediaMarketing",DLRBSolutions,0,I love this!!!!  https://t.co/CJCdalTgG9 #MakeADifference #Excellence
35,"Channel #7 
Who the fuck are Arctic Monkeys?!",arctic_bby,1,RT @musicnews_facts: Taylor Swift will soon have her very own 24/7 airing channel as part of a deal with AT&amp;T and DirecTV. https://t.co/ihe?
36,"Derecho PUC?
CDUC?",KimDuboP,0,RT @PelisResumidas: Los Vengadores: Un grupo de supermodelos salva la tierra del ex novio de Taylor Swift. https://t.co/xpVScofw5a
37,musicVault is the plugin for iTunes which automatically finds you cool content based on the music you play...,musicVault,0,"#music Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/2jbGLUlQaW"
38,"Shopping for the best extras, #Shopping, #Movies, #Books, #Music, #ColorsRetailGroup",ColorsRetailg,1,"Taylor Swift, One Direction top list of highest paid musicians: Forbes"
39,I'm a bot that has erotic fantasies about celebrities. You know you've had them too...,CelebrityVenom,0,"Gee whiz, Taylor Swift! Feel my bottom!!!"
40,"Channel #7 
Who the fuck are Arctic Monkeys?!",arctic_bby,1,"RT @musicnews_facts: Forbes predicts that Taylor Swift will earn ""millions"" of US-Dollars this year thanks to her writing songs for other a?"
41,"#stigma, #hwarang ?",sejkou,0,RT @lavieentae: i hate han and dani choke on air you guys dont deserve kim taehyung's dick in your mouth with which you sing taylor swift s?
42,"#stigma, #hwarang ?",sejkou,0,Cnslfjod KTH LISTENS TO TAYLOR SWIFT OKAY https://t.co/mZfOoSqPok
43,USABroadcasting License,Worldglobalmus3,0,"RT @TMZ: Taylor Swift Now Has Her Own TV Channel ? Yes, An ENTIRE FREAKIN? CHANNEL (via @gossipgirl) https://t.co/NtaABOO6jP"
44,I'm in love with a puppy,AdamsxStyles,0,Les fans de Taylor Swift https://t.co/TRKSf56LNN
45,Born and raised in the 'Ville. Raising my family on the Plains. #L1C4 #WDE Instagram & Snapchat: @macyfinck,macyfinck,0,"Celebrity look-alikes in my classes: Taylor Swift, Chrissy Teigen, Donald Glover, Crazy Eyes from OITNB, Kenny from South Park"
46,"Taylor is my life ..??
i see Sparks fly whatever she smile... ?
 my happiness She Taylor",DrewManni,1,"RT @TayIorCrew: Todrick Hall talks about Taylor and how she joined him for the ""Best Thanksgiving Ever""! ??

Read more: https://t.co/1vJUIx?"
47,???? ???????? ???????????,Qc6zanG,0,"RT @presenter_music: Taylor Swift?Dave Days cover?
-We Are Never Ever Getting Back Together
?????????????????

Dave Days????????????????????"
48,,RahulNautiyal20,0,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
49,@IamGasparita??12/05?? Snap #adjahuaracunha5 #Directioner??,adjahuarairosa,0,"RT @perguntspravcs: Qual das duas voc? prefere? 

RT= Adele
Fav= Taylor Swift https://t.co/KqUFfo9pd1"
50,"Ama de casa  y  administrativa de una empresa de transportes ,simp?tica  y me encanta tener amigos,se mucho de m?sica y me encanta, Pitbull ,y muchos m?s.",lunasangrienta1,0,"RT @billboard: Todrick Hall talks Taylor Swift, her sound advice and how she joined him for ""the best Thanksgiving I've ever had"" https://t?"
51,,chuhaizhou,0,"Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/XwKFJSOkTD"
52,The news you are looking for.,Breakin69859206,0,"Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/2Z9LkIYIL9 https://t.co/fkzmB2hfXu"
53,"SEAs17 TU82
#dek59
Thanks for follow me",spybabor,0,"RT @ThaiSwifties: ""??????????????????? ?????????????????????? ????????????????????????????????????????????"" - Taylor Swift http://t.co/Dazh?"
54,"Follow for breaking news, special reports, RTs",News_Today4,0,"Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/PGqCfgdkFN https://t.co/iKuVzX0wMA"
55,"Selena changed my life, just paying her back!",selenagmodesty,1,"RT @TSwiftNZ: The @FoodNetwork's Ina Garten talking about Taylor Swift - ""I think there's nobody I admire more."" https://t.co/7nWx3zXJTA ht?"
56,Sometimes I feel like a nut and sometimes I don't,malibuflavor,0,I added a video to a @YouTube playlist https://t.co/rVEhR58XpC Taylor Swift - Christmases When You Were Mine (Lyrics)
57,I love Cara??,esthercheng09,1,RT @DailyMailCeleb: Taylor Swift tops Forbes list of highest earners in 2016 as she pulls in $170m https://t.co/ydlrVjOlNv https://t.co/aB3?
58,Please support Kim Taehyung's debut in his upcoming drama 'Hwarang: The Beginning' on the 19th of December!,taeandguk,0,TAEHYUNG LISTENS TO TAYLOR SWIFT . HE INVENTED HER CAREER https://t.co/LpGlgrdNwA
59,"I walk the earth, meet people... get into adventures. Like Caine from Kung Fu.   Check out my Villa-Lobos life, at https://t.co/E2ducV4jKy.",dean_frey,0,"RT @dean_frey: I never wonder to see men wicked, but I often wonder to see them not ashamed
Jonathan Swift, botd in 1667
Jonathan &amp; Taylor?"
60,News sobre os astros pop. #Bieber #TaylorSwift #KatyPerry #DemiLovato #SelenaGomez #Madonna #HilaryDuff #ArianaGrande #JessieJ,popsoundnews,1,Minecraft  Taylor Swift  Bad Blood Pixel Painters  Gamer Chad Plays https://t.co/Jziv5qIukp
61,The legendary Miss Britney Spears followed me on 8/31/16 at 4:01 P.M.  #ImStillWithHer,bbbfffds8,1,"RT @musicnews_facts: Forbes predicts that Taylor Swift will earn ""millions"" of US-Dollars this year thanks to her writing songs for other a?"
62,Tweeting a TS song every 30 min. ????????????????????????????,tayradio13,1,Taylor Swift- White Christmas   https://t.co/0pMRyh4Wpd https://t.co/Xbj7iPIIWS
63,,james_neibert,0,"Song (with Ben and Sai): ""Bad Blood"" by Taylor Swift #HasnerChat"
64,bombo?,rretrogrades,0,@simgeemgener aaaabi 2011 de taylor swift falan dinlemen gerekirdi k?nand?n.....
65,,GurgunMine,0,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
66,3D Modeler,AokiYagashi,1,"RT @TayIorCrew: Todrick Hall talks about Taylor and how she joined him for the ""Best Thanksgiving Ever""! ??

Read more: https://t.co/1vJUIx?"
67,Convex combination of amateur talents. Positive intellectually motivated person (PiMp),sjamsu_rahardja,0,Simple MInds - Don't You. So that Taylor Swift knows what music was in the 80s https://t.co/wTAyepiUPN
68,"En Streaming High Definition, escucha La Mega de Toronto en internet y disfruta de la mejor m?sica en Ingl?s y Espa?ol.",lamegadetoronto,0,Taylor Swift tambi?n tendr? su propio show de televisi?n  y aqu? te contamos d?nde y desde cu?ndo podr?s verlo:? https://t.co/NI0sw03BpU
69,Still water runs deep.,16Hitomi,1,"BUMP,RAD,flumpool,One Direction,Taylor Swift??????ONE PIECE??????SOL?????????????????(*^^*)"
70,my life is a spiraling abyss of obsessions that i cant keep track of,voguebami,1,RT @jaebeomult: me when i read bambam likes taylor swift and that kendall jenner is his ideal type https://t.co/pA4VakY58p
71,belajar kerana lillahitaala #misi4flat,nursyazafaiz,0,Saya rindu taylor swift saya .. ehhhhh
72,"|she/ her| kim affection :') #blacklivesmatter    
#STIGMA  
#HWARANG",lavieentae,0,what am i even saying.. taehyung invented loving taylor swift and enchanted HE CAN CHOKE TOO
73,Baju Replika/T-Shirt Custom/Aksesoris Fashion Import ~ Cabang dari @Gaeun_KShop ~ SMS: 08118113951 ~ Whatsapp: 0811811351,Freakey_Shop,0,"[PO s/d 15 Maret] Jacket Taylor Swift ""Pink"" Rp 160.000 https://t.co/kwWZ9TOyuL"
74,Singer.SongWriter.Composer.Pianist.Anchor. ?oldpl@yFan.FunLoving,Cold_Ak,1,RT @billboard: Are you ready? Taylor Swift fans have a new destination for never before seen content. #BillboardNews https://t.co/WH6aRTOgQu
75,The mind of the subject will desperately struggle to create memories where none exist.,Dawnhorsedinosa,1,RT @NME: .@TaylorSwift13 is getting her own TV show https://t.co/hJT4wFCogr https://t.co/3Goj2udyJb
76,,nuriyliahanisMS,1,Nak nyanyi lagu taylor swift lah
77,Tweeting like no one is following~,laptamy,0,Menyiapkan mental sebelum timeline diisi oleh rangorang yang dengerin lagu Back To December-nya Taylor Swift.
78,"PCP, Canadian Payroll Association,B.A Philosophy Concordia University,Payroll Supervision Diploma, music industry professional",jeffreyrubin2,0,Taylor Swift partners up with AT&amp;T for streaming 'video experience' https://t.co/aGEIXc1WzO
79,,spaeknow,1,her friendship with Taylor Swift is so cute https://t.co/jFTN83pSsd
80,"Si tienes la suerte de ser diferente, no cambies nunca. Taylor Swift ? #CC
~Be fearless~",Antia_Ares,1,RT @TSwiftNZ: Kelsea Ballerini says the best piece of advice she's ever received was from Taylor Swift [Loyola Phoenix] https://t.co/8OTVic?
81,"death by idols (both 2d and 3d) ?
???? / HQ!! / ?? / ???? / CCS / ??? / ???? / ???? / MM / VOLTRON / SEIYUU / YOI / INFINITE / SHINee?*???*?",kneesocks,0,@motivalier @dolceconaffetto https://t.co/lrwiRMRhQ9 LMAOOOO
82,Stargazer,rifaldyyyy,1,... ? Two Is Better Than One (feat. Taylor Swift) by Boys Like Girls ? https://t.co/tVUKCX8vMW
83,Tryna find my balance..,rsw_nash,0,Back to December by taylor swift is stuck in my head this morning.. ?
84,"Software engineer, Air Force veteran, geeky, Bernie Sanders supporter, Green Party, cat enthusiast, and a gamer. aka Aeldarr on Twitch",ChrisYankeeInTX,0,"@Crunkmuffin ""You always regret what you don't say"" -- Taylor Swift
Listen to Tay Tay...she is wise. https://t.co/JSstm90Qqx"
85,cool,Brian007Smith,1,RT @billboard: Taylor Swift &amp; Todrick Hall had a Disney sing-along #BillboardNews https://t.co/cWhhI4XGUv
86,"USA HIT MUSIC Streaming Worldwide! ? http://t.co/odnJertm9S to hear JOHN LOBBAN RADIO ? FREE APP for #iPhone #iPad #iPod, #Android and #BlackBerry Smartphones!",JohnLobbanRADIO,1,"#NowPlaying Music from Taylor Swift ""We Are Never Ever Getting Back Together"" https://t.co/o56MPKfPqZ"
87,".MUSIC (dotMusic) is the exclusive domain name extension for official, verified  websites representing the Music Industry, Artists, Music Creators & Brands",musicextension,0,"Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/HmpC8alLgF"
88,"Taylor is my life ..??
i see Sparks fly whatever she smile... ?
 my happiness She Taylor",DrewManni,1,"RT @Plaid_ShirtDays: 80,000 people chanted all too well and Taylor Swift looked at me and rolled her eyes"
89,,MIX_1015_ONAIR,1,Taylor Swift - Out Of The Woods https://t.co/ohqTCezaxo #mix1015fm
90,rsha23@outlook.com,newjakarta,0,"Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/M2fjHNl5ls"
91,"Live stream of @StartleInt's background music service, @VirtualJukebox - showing you what's playing at our locations.",VirtualJukebox,0,We Are Never Ever Getting Back Together by Taylor Swift is #nowplaying in Trinity College Bar.
92,,davidlucakunz,0,"RT @rewinside: Egal was, Call me maybe oder Taylor Swift Songs sind die besten Tracks f?r nen Auto-TurnUp!"
93,"""s'il vous pla?t ayez piti? de moi""",mendesswifties,1,RT @SwiftiesManila: Taylor Swift will be turning 27 after the next 13 days! The countdown starts now! #13DaysOfTaylor https://t.co/iACWh7TA?
94,"I tweet about fashion, music, and celebs. Follow me and I'll follow back :) :*",RebecaMackenzie,0,"#LadiesWeWantAnswers Taylor Swift, One Direction top list of highest paid musicians: Forbes https://t.co/CDgi0cRt8S"
95,"|she/ her| kim affection :') #blacklivesmatter    
#STIGMA  
#HWARANG",lavieentae,0,i hate han and dani choke on air you guys dont deserve kim taehyung's dick in your mouth with which you sing taylor swift songs CHOKEONAIR
96,"I tell jokes, often in song, I make music.  She/her , genderqueer femme and bi. https://t.co/OF6YBpUYLo https://t.co/yM8bVx62DD",Makofury,0,"@xoxogossipgita so the question is,  what's the first New York song you listen to upon moving?  ""Welcome to New York""-Taylor Swift?"
97,"Hi Guys,I am a 15 year old teen from India.And I love singing.I make song covers too.My instagram @hrit2016
Facebook - the backbench singer
YouTube - Hrit",hritsaha1,1,I liked a @YouTube video from @flybymidnight_ https://t.co/GJwWvHZwx1 Style - Taylor Swift (Cover by Justin Bryte)
98,He/Him. Writer. Roaster. Imaginationist. Keep my pepper sauce in mason jars and my memes on iCloud. Black Bear with a love for the arts. Get @ me,MeisterMahnIV,0,"Drake is trash, but...this is another example of toxic masculinity at work. So WHAT if a guy sings Taylor Swift(als? https://t.co/zBszJTLtH7"
99,10 Grammys e nenhum deles te perguntou nada.,TiruSwiftie,1,"RT @iHeartCountry: 8 years ago, @taylorswift13?s ?Fearless? album became the #1 Country album and it stayed there for over 35 weeks https:/?"
